has_null,wave,gender,age,age_o,d_age,d_d_age,race,race_o,samerace,importance_same_race,importance_same_religion,d_importance_same_race,d_importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,d_pref_o_attractive,d_pref_o_sincere,d_pref_o_intelligence,d_pref_o_funny,d_pref_o_ambitious,d_pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,d_attractive_o,d_sinsere_o,d_intelligence_o,d_funny_o,d_ambitous_o,d_shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,d_attractive_important,d_sincere_important,d_intellicence_important,d_funny_important,d_ambtition_important,d_shared_interests_important,attractive,sincere,intelligence,funny,ambition,d_attractive,d_sincere,d_intelligence,d_funny,d_ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,d_attractive_partner,d_sincere_partner,d_intelligence_partner,d_funny_partner,d_ambition_partner,d_shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,d_sports,d_tvsports,d_exercise,d_dining,d_museums,d_art,d_hiking,d_gaming,d_clubbing,d_reading,d_tv,d_theater,d_movies,d_concerts,d_music,d_shopping,d_yoga,interests_correlate,d_interests_correlate,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,d_expected_happy_with_sd_people,d_expected_num_interested_in_me,d_expected_num_matches,like,guess_prob_liked,d_like,d_guess_prob_liked,met,decision,decision_o,match
'',4.0,'female',26.0,22.0,4.0,'[4-6]','Asian/Pacific Islander/Asian-American','Asian/Pacific Islander/Asian-American','1',8.0,8.0,'[6-10]','[6-10]','Operations Research [SEAS]',40.0,8.0,10.0,12.0,10.0,20.0,'[21-100]','[0-15]','[0-15]','[0-15]','[0-15]','[16-20]',6.0,8.0,8.0,6.0,,,'[6-8]','[6-8]','[6-8]','[6-8]','[0-5]','[0-5]',10.0,20.0,15.0,20.0,20.0,15.0,'[0-15]','[16-20]','[0-15]','[16-20]','[16-20]','[0-15]',7.0,9.0,8.0,7.0,7.0,'[6-8]','[9-10]','[6-8]','[6-8]','[6-8]',4.0,6.0,6.0,5.0,5.0,5.0,'[0-5]','[6-8]','[6-8]','[0-5]','[0-5]','[0-5]',2.0,3.0,2.0,10.0,10.0,10.0,2.0,1.0,7.0,4.0,4.0,9.0,9.0,8.0,8.0,3.0,3.0,'[0-5]','[0-5]','[0-5]','[9-10]','[9-10]','[9-10]','[0-5]','[0-5]','[6-8]','[0-5]','[0-5]','[9-10]','[9-10]','[6-8]','[6-8]','[0-5]','[0-5]',0.35,'[0.33-1]',5.0,3.0,2.0,'[5-6]','[0-3]','[0-2]',5.0,5.0,'[0-5]','[5-6]',0.0,'0','1','0'
'',4.0,'female',26.0,32.0,6.0,'[4-6]','Asian/Pacific Islander/Asian-American','European/Caucasian-American','0',8.0,8.0,'[6-10]','[6-10]','Operations Research [SEAS]',30.0,10.0,30.0,20.0,10.0,0.0,'[21-100]','[0-15]','[21-100]','[16-20]','[0-15]','[0-15]',4.0,4.0,4.0,4.0,6.0,3.0,'[0-5]','[0-5]','[0-5]','[0-5]','[6-8]','[0-5]',10.0,20.0,15.0,20.0,20.0,15.0,'[0-15]','[16-20]','[0-15]','[16-20]','[16-20]','[0-15]',7.0,9.0,8.0,7.0,7.0,'[6-8]','[9-10]','[6-8]','[6-8]','[6-8]',2.0,2.0,2.0,2.0,2.0,2.0,'[0-5]','[0-5]','[0-5]','[0-5]','[0-5]','[0-5]',2.0,3.0,2.0,10.0,10.0,10.0,2.0,1.0,7.0,4.0,4.0,9.0,9.0,8.0,8.0,3.0,3.0,'[0-5]','[0-5]','[0-5]','[9-10]','[9-10]','[9-10]','[0-5]','[0-5]','[6-8]','[0-5]','[0-5]','[9-10]','[9-10]','[6-8]','[6-8]','[0-5]','[0-5]',-0.15,'[-1-0]',5.0,3.0,2.0,'[5-6]','[0-3]','[0-2]',2.0,2.0,'[0-5]','[0-4]',0.0,'0','0','0'
'',4.0,'female',26.0,26.0,0.0,'[0-1]','Asian/Pacific Islander/Asian-American','European/Caucasian-American','0',8.0,8.0,'[6-10]','[6-10]','Operations Research [SEAS]',40.0,5.0,20.0,10.0,10.0,15.0,'[21-100]','[0-15]','[16-20]','[0-15]','[0-15]','[0-15]',5.0,7.0,8.0,6.0,7.0,6.0,'[0-5]','[6-8]','[6-8]','[6-8]','[6-8]','[6-8]',10.0,20.0,15.0,20.0,20.0,15.0,'[0-15]','[16-20]','[0-15]','[16-20]','[16-20]','[0-15]',7.0,9.0,8.0,7.0,7.0,'[6-8]','[9-10]','[6-8]','[6-8]','[6-8]',5.0,5.0,5.0,5.0,5.0,5.0,'[0-5]','[0-5]','[0-5]','[0-5]','[0-5]','[0-5]',2.0,3.0,2.0,10.0,10.0,10.0,2.0,1.0,7.0,4.0,4.0,9.0,9.0,8.0,8.0,3.0,3.0,'[0-5]','[0-5]','[0-5]','[9-10]','[9-10]','[9-10]','[0-5]','[0-5]','[6-8]','[0-5]','[0-5]','[9-10]','[9-10]','[6-8]','[6-8]','[0-5]','[0-5]',-0.18,'[-1-0]',5.0,3.0,2.0,'[5-6]','[0-3]','[0-2]',5.0,5.0,'[0-5]','[5-6]',0.0,'0','0','0'
'',4.0,'female',26.0,27.0,1.0,'[0-1]','Asian/Pacific Islander/Asian-American','European/Caucasian-American','0',8.0,8.0,'[6-10]','[6-10]','Operations Research [SEAS]',20.0,15.0,25.0,15.0,20.0,5.0,'[16-20]','[0-15]','[21-100]','[0-15]','[16-20]','[0-15]',6.0,8.0,7.0,7.0,7.0,4.0,'[6-8]','[6-8]','[6-8]','[6-8]','[6-8]','[0-5]',10.0,20.0,15.0,20.0,20.0,15.0,'[0-15]','[16-20]','[0-15]','[16-20]','[16-20]','[0-15]',7.0,9.0,8.0,7.0,7.0,'[6-8]','[9-10]','[6-8]','[6-8]','[6-8]',,6.0,7.0,8.0,6.0,7.0,'[0-5]','[6-8]','[6-8]','[6-8]','[6-8]','[6-8]',2.0,3.0,2.0,10.0,10.0,10.0,2.0,1.0,7.0,4.0,4.0,9.0,9.0,8.0,8.0,3.0,3.0,'[0-5]','[0-5]','[0-5]','[9-10]','[9-10]','[9-10]','[0-5]','[0-5]','[6-8]','[0-5]','[0-5]','[9-10]','[9-10]','[6-8]','[6-8]','[0-5]','[0-5]',0.42,'[0.33-1]',5.0,3.0,2.0,'[5-6]','[0-3]','[0-2]',7.0,6.0,'[6-8]','[5-6]',5.0,'1','1','1'
'',4.0,'female',26.0,25.0,1.0,'[0-1]','Asian/Pacific Islander/Asian-American','Black/African American','0',8.0,8.0,'[6-10]','[6-10]','Operations Research [SEAS]',30.0,15.0,20.0,20.0,0.0,5.0,'[21-100]','[0-15]','[16-20]','[16-20]','[0-15]','[0-15]',5.0,9.0,8.0,9.0,5.0,6.0,'[0-5]','[9-10]','[6-8]','[9-10]','[0-5]','[6-8]',10.0,20.0,15.0,20.0,20.0,15.0,'[0-15]','[16-20]','[0-15]','[16-20]','[16-20]','[0-15]',7.0,9.0,8.0,7.0,7.0,'[6-8]','[9-10]','[6-8]','[6-8]','[6-8]',6.0,6.0,6.0,6.0,6.0,6.0,'[6-8]','[6-8]','[6-8]','[6-8]','[6-8]','[6-8]',2.0,3.0,2.0,10.0,10.0,10.0,2.0,1.0,7.0,4.0,4.0,9.0,9.0,8.0,8.0,3.0,3.0,'[0-5]','[0-5]','[0-5]','[9-10]','[9-10]','[9-10]','[0-5]','[0-5]','[6-8]','[0-5]','[0-5]','[9-10]','[9-10]','[6-8]','[6-8]','[0-5]','[0-5]',0.03,'[0-0.33]',5.0,3.0,2.0,'[5-6]','[0-3]','[0-2]',6.0,5.0,'[6-8]','[5-6]',0.0,'1','0','0'
'',4.0,'female',26.0,22.0,4.0,'[4-6]','Asian/Pacific Islander/Asian-American','Latino/Hispanic American','0',8.0,8.0,'[6-10]','[6-10]','Operations Research [SEAS]',10.0,20.0,35.0,10.0,5.0,20.0,'[0-15]','[16-20]','[21-100]','[0-15]','[0-15]','[16-20]',8.0,10.0,10.0,6.0,9.0,8.0,'[6-8]','[9-10]','[9-10]','[6-8]','[9-10]','[6-8]',10.0,20.0,15.0,20.0,20.0,15.0,'[0-15]','[16-20]','[0-15]','[16-20]','[16-20]','[0-15]',7.0,9.0,8.0,7.0,7.0,'[6-8]','[9-10]','[6-8]','[6-8]','[6-8]',5.0,5.0,5.0,5.0,5.0,5.0,'[0-5]','[0-5]','[0-5]','[0-5]','[0-5]','[0-5]',2.0,3.0,2.0,10.0,10.0,10.0,2.0,1.0,7.0,4.0,4.0,9.0,9.0,8.0,8.0,3.0,3.0,'[0-5]','[0-5]','[0-5]','[9-10]','[9-10]','[9-10]','[0-5]','[0-5]','[6-8]','[0-5]','[0-5]','[9-10]','[9-10]','[6-8]','[6-8]','[0-5]','[0-5]',0.24,'[0-0.33]',5.0,3.0,2.0,'[5-6]','[0-3]','[0-2]',5.0,5.0,'[0-5]','[5-6]',0.0,'0','1','0'
'',4.0,'female',26.0,21.0,5.0,'[4-6]','Asian/Pacific Islander/Asian-American','European/Caucasian-American','0',8.0,8.0,'[6-10]','[6-10]','Operations Research [SEAS]',19.0,24.0,21.0,23.0,5.0,8.0,'[16-20]','[21-100]','[21-100]','[21-100]','[0-15]','[0-15]',6.0,8.0,9.0,7.0,6.0,5.0,'[6-8]','[6-8]','[9-10]','[6-8]','[6-8]','[0-5]',10.0,20.0,15.0,20.0,20.0,15.0,'[0-15]','[16-20]','[0-15]','[16-20]','[16-20]','[0-15]',7.0,9.0,8.0,7.0,7.0,'[6-8]','[9-10]','[6-8]','[6-8]','[6-8]',5.0,7.0,7.0,7.0,5.0,6.0,'[0-5]','[6-8]','[6-8]','[6-8]','[0-5]','[6-8]',2.0,3.0,2.0,10.0,10.0,10.0,2.0,1.0,7.0,4.0,4.0,9.0,9.0,8.0,8.0,3.0,3.0,'[0-5]','[0-5]','[0-5]','[9-10]','[9-10]','[9-10]','[0-5]','[0-5]','[6-8]','[0-5]','[0-5]','[9-10]','[9-10]','[6-8]','[6-8]','[0-5]','[0-5]',0.52,'[0.33-1]',5.0,3.0,2.0,'[5-6]','[0-3]','[0-2]',6.0,5.0,'[6-8]','[5-6]',0.0,'1','1','1'
'',4.0,'female',26.0,24.0,2.0,'[2-3]','Asian/Pacific Islander/Asian-American','European/Caucasian-American','0',8.0,8.0,'[6-10]','[6-10]','Operations Research [SEAS]',10.0,20.0,35.0,20.0,0.0,15.0,'[0-15]','[16-20]','[21-100]','[16-20]','[0-15]','[0-15]',7.0,8.0,7.0,7.0,4.0,7.0,'[6-8]','[6-8]','[6-8]','[6-8]','[0-5]','[6-8]',10.0,20.0,15.0,20.0,20.0,15.0,'[0-15]','[16-20]','[0-15]','[16-20]','[16-20]','[0-15]',7.0,9.0,8.0,7.0,7.0,'[6-8]','[9-10]','[6-8]','[6-8]','[6-8]',6.0,6.0,6.0,6.0,6.0,6.0,'[6-8]','[6-8]','[6-8]','[6-8]','[6-8]','[6-8]',2.0,3.0,2.0,10.0,10.0,10.0,2.0,1.0,7.0,4.0,4.0,9.0,9.0,8.0,8.0,3.0,3.0,'[0-5]','[0-5]','[0-5]','[9-10]','[9-10]','[9-10]','[0-5]','[0-5]','[6-8]','[0-5]','[0-5]','[9-10]','[9-10]','[6-8]','[6-8]','[0-5]','[0-5]',0.6,'[0.33-1]',5.0,3.0,2.0,'[5-6]','[0-3]','[0-2]',7.0,5.0,'[6-8]','[5-6]',1.0,'1','1','1'
'',4.0,'female',26.0,25.0,1.0,'[0-1]','Asian/Pacific Islander/Asian-American','Asian/Pacific Islander/Asian-American','1',8.0,8.0,'[6-10]','[6-10]','Operations Research [SEAS]',15.0,10.0,30.0,10.0,5.0,30.0,'[0-15]','[0-15]','[21-100]','[0-15]','[0-15]','[21-100]',7.0,10.0,7.0,7.0,7.0,5.0,'[6-8]','[9-10]','[6-8]','[6-8]','[6-8]','[0-5]',10.0,20.0,15.0,20.0,20.0,15.0,'[0-15]','[16-20]','[0-15]','[16-20]','[16-20]','[0-15]',7.0,9.0,8.0,7.0,7.0,'[6-8]','[9-10]','[6-8]','[6-8]','[6-8]',5.0,5.0,5.0,5.0,5.0,5.0,'[0-5]','[0-5]','[0-5]','[0-5]','[0-5]','[0-5]',2.0,3.0,2.0,10.0,10.0,10.0,2.0,1.0,7.0,4.0,4.0,9.0,9.0,8.0,8.0,3.0,3.0,'[0-5]','[0-5]','[0-5]','[9-10]','[9-10]','[9-10]','[0-5]','[0-5]','[6-8]','[0-5]','[0-5]','[9-10]','[9-10]','[6-8]','[6-8]','[0-5]','[0-5]',0.8,'[0.33-1]',5.0,3.0,2.0,'[5-6]','[0-3]','[0-2]',5.0,5.0,'[0-5]','[5-6]',0.0,'0','1','0'
'',4.0,'female',26.0,28.0,2.0,'[2-3]','Asian/Pacific Islander/Asian-American','European/Caucasian-American','0',8.0,8.0,'[6-10]','[6-10]','Operations Research [SEAS]',20.0,20.0,15.0,15.0,5.0,25.0,'[16-20]','[16-20]','[0-15]','[0-15]','[0-15]','[21-100]',5.0,8.0,9.0,8.0,6.0,,'[0-5]','[6-8]','[9-10]','[6-8]','[6-8]','[0-5]',10.0,20.0,15.0,20.0,20.0,15.0,'[0-15]','[16-20]','[0-15]','[16-20]','[16-20]','[0-15]',7.0,9.0,8.0,7.0,7.0,'[6-8]','[9-10]','[6-8]','[6-8]','[6-8]',4.0,4.0,4.0,4.0,4.0,4.0,'[0-5]','[0-5]','[0-5]','[0-5]','[0-5]','[0-5]',2.0,3.0,2.0,10.0,10.0,10.0,2.0,1.0,7.0,4.0,4.0,9.0,9.0,8.0,8.0,3.0,3.0,'[0-5]','[0-5]','[0-5]','[9-10]','[9-10]','[9-10]','[0-5]','[0-5]','[6-8]','[0-5]','[0-5]','[9-10]','[9-10]','[6-8]','[6-8]','[0-5]','[0-5]',0.54,'[0.33-1]',5.0,3.0,2.0,'[5-6]','[0-3]','[0-2]',4.0,4.0,'[0-5]','[0-4]',0.0,'0','0','0'
'',4.0,'female',26.0,27.0,1.0,'[0-1]','Asian/Pacific Islander/Asian-American','Asian/Pacific Islander/Asian-American','1',8.0,8.0,'[6-10]','[6-10]','Operations Research [SEAS]',20.0,20.0,20.0,20.0,10.0,10.0,'[16-20]','[16-20]','[16-20]','[16-20]','[0-15]','[0-15]',3.0,6.0,5.0,5.0,3.0,7.0,'[0-5]','[6-8]','[0-5]','[0-5]','[0-5]','[6-8]',10.0,20.0,15.0,20.0,20.0,15.0,'[0-15]','[16-20]','[0-15]','[16-20]','[16-20]','[0-15]',7.0,9.0,8.0,7.0,7.0,'[6-8]','[9-10]','[6-8]','[6-8]','[6-8]',6.0,6.0,6.0,6.0,6.0,6.0,'[6-8]','[6-8]','[6-8]','[6-8]','[6-8]','[6-8]',2.0,3.0,2.0,10.0,10.0,10.0,2.0,1.0,7.0,4.0,4.0,9.0,9.0,8.0,8.0,3.0,3.0,'[0-5]','[0-5]','[0-5]','[9-10]','[9-10]','[9-10]','[0-5]','[0-5]','[6-8]','[0-5]','[0-5]','[9-10]','[9-10]','[6-8]','[6-8]','[0-5]','[0-5]',0.4,'[0.33-1]',5.0,3.0,2.0,'[5-6]','[0-3]','[0-2]',7.0,5.0,'[6-8]','[5-6]',0.0,'0','0','0'
'',4.0,'female',27.0,28.0,1.0,'[0-1]','Asian/Pacific Islander/Asian-American','Asian/Pacific Islander/Asian-American','1',3.0,1.0,'[2-5]','[0-1]','chemistry',20.0,20.0,20.0,10.0,10.0,20.0,'[16-20]','[16-20]','[16-20]','[0-15]','[0-15]','[16-20]',6.0,7.0,7.0,7.0,7.0,5.0,'[6-8]','[6-8]','[6-8]','[6-8]','[6-8]','[0-5]',10.0,20.0,20.0,10.0,20.0,20.0,'[0-15]','[16-20]','[16-20]','[0-15]','[16-20]','[16-20]',8.0,8.0,8.0,8.0,8.0,'[6-8]','[6-8]','[6-8]','[6-8]','[6-8]',1.0,,8.0,7.0,,7.0,'[0-5]','[0-5]','[6-8]','[6-8]','[0-5]','[6-8]',8.0,3.0,7.0,5.0,5.0,4.0,3.0,1.0,5.0,10.0,9.0,7.0,7.0,7.0,7.0,9.0,2.0,'[6-8]','[0-5]','[6-8]','[0-5]','[0-5]','[0-5]','[0-5]','[0-5]','[0-5]','[9-10]','[9-10]','[6-8]','[6-8]','[6-8]','[6-8]','[9-10]','[0-5]',0.61,'[0.33-1]',7.0,10.0,4.0,'[7-10]','[10-20]','[3-5]',5.0,5.0,'[0-5]','[5-6]',0.0,'0','0','0'
'',4.0,'female',27.0,26.0,1.0,'[0-1]','Asian/Pacific Islander/Asian-American','European/Caucasian-American','0',3.0,1.0,'[2-5]','[0-1]','chemistry',18.0,18.0,18.0,19.0,13.0,14.0,'[16-20]','[16-20]','[16-20]','[16-20]','[0-15]','[0-15]',5.0,8.0,7.0,5.0,6.0,4.0,'[0-5]','[6-8]','[6-8]','[0-5]','[6-8]','[0-5]',10.0,20.0,20.0,10.0,20.0,20.0,'[0-15]','[16-20]','[16-20]','[0-15]','[16-20]','[16-20]',8.0,8.0,8.0,8.0,8.0,'[6-8]','[6-8]','[6-8]','[6-8]','[6-8]',7.0,9.0,9.0,8.0,9.0,8.0,'[6-8]','[9-10]','[9-10]','[6-8]','[9-10]','[6-8]',8.0,3.0,7.0,5.0,5.0,4.0,3.0,1.0,5.0,10.0,9.0,7.0,7.0,7.0,7.0,9.0,2.0,'[6-8]','[0-5]','[6-8]','[0-5]','[0-5]','[0-5]','[0-5]','[0-5]','[0-5]','[9-10]','[9-10]','[6-8]','[6-8]','[6-8]','[6-8]','[9-10]','[0-5]',0.31,'[0-0.33]',7.0,10.0,4.0,'[7-10]','[10-20]','[3-5]',8.0,8.0,'[6-8]','[7-10]',0.0,'0','0','0'
'',4.0,'female',27.0,26.0,1.0,'[0-1]','Asian/Pacific Islander/Asian-American','Latino/Hispanic American','0',3.0,1.0,'[2-5]','[0-1]','chemistry',10.0,20.0,20.0,22.0,6.0,22.0,'[0-15]','[16-20]','[16-20]','[21-100]','[0-15]','[21-100]',6.0,7.0,7.0,6.0,,,'[6-8]','[6-8]','[6-8]','[6-8]','[0-5]','[0-5]',10.0,20.0,20.0,10.0,20.0,20.0,'[0-15]','[16-20]','[16-20]','[0-15]','[16-20]','[16-20]',8.0,8.0,8.0,8.0,8.0,'[6-8]','[6-8]','[6-8]','[6-8]','[6-8]',6.0,7.0,8.0,7.0,8.0,7.0,'[6-8]','[6-8]','[6-8]','[6-8]','[6-8]','[6-8]',8.0,3.0,7.0,5.0,5.0,4.0,3.0,1.0,5.0,10.0,9.0,7.0,7.0,7.0,7.0,9.0,2.0,'[6-8]','[0-5]','[6-8]','[0-5]','[0-5]','[0-5]','[0-5]','[0-5]','[0-5]','[9-10]','[9-10]','[6-8]','[6-8]','[6-8]','[6-8]','[9-10]','[0-5]',-0.36,'[-1-0]',7.0,10.0,4.0,'[7-10]','[10-20]','[3-5]',7.0,8.0,'[6-8]','[7-10]',0.0,'0','0','0'
'',4.0,'female',27.0,29.0,2.0,'[2-3]','Asian/Pacific Islander/Asian-American','European/Caucasian-American','0',3.0,1.0,'[2-5]','[0-1]','chemistry',50.0,7.0,20.0,23.0,0.0,0.0,'[21-100]','[0-15]','[16-20]','[21-100]','[0-15]','[0-15]',4.0,6.0,7.0,4.0,6.0,6.0,'[0-5]','[6-8]','[6-8]','[0-5]','[6-8]','[6-8]',10.0,20.0,20.0,10.0,20.0,20.0,'[0-15]','[16-20]','[16-20]','[0-15]','[16-20]','[16-20]',8.0,8.0,8.0,8.0,8.0,'[6-8]','[6-8]','[6-8]','[6-8]','[6-8]',8.0,8.0,8.0,8.0,,8.0,'[6-8]','[6-8]','[6-8]','[6-8]','[0-5]','[6-8]',8.0,3.0,7.0,5.0,5.0,4.0,3.0,1.0,5.0,10.0,9.0,7.0,7.0,7.0,7.0,9.0,2.0,'[6-8]','[0-5]','[6-8]','[0-5]','[0-5]','[0-5]','[0-5]','[0-5]','[0-5]','[9-10]','[9-10]','[6-8]','[6-8]','[6-8]','[6-8]','[9-10]','[0-5]',0.23,'[0-0.33]',7.0,10.0,4.0,'[7-10]','[10-20]','[3-5]',8.0,7.0,'[6-8]','[7-10]',0.0,'1','0','0'
'',4.0,'female',27.0,39.0,12.0,'[7-37]','Asian/Pacific Islander/Asian-American','European/Caucasian-American','0',3.0,1.0,'[2-5]','[0-1]','chemistry',40.0,20.0,15.0,20.0,0.0,5.0,'[21-100]','[16-20]','[0-15]','[16-20]','[0-15]','[0-15]',10.0,10.0,10.0,,,,'[9-10]','[9-10]','[9-10]','[0-5]','[0-5]','[0-5]',10.0,20.0,20.0,10.0,20.0,20.0,'[0-15]','[16-20]','[16-20]','[0-15]','[16-20]','[16-20]',8.0,8.0,8.0,8.0,8.0,'[6-8]','[6-8]','[6-8]','[6-8]','[6-8]',6.0,7.0,7.0,6.0,6.0,5.0,'[6-8]','[6-8]','[6-8]','[6-8]','[6-8]','[0-5]',8.0,3.0,7.0,5.0,5.0,4.0,3.0,1.0,5.0,10.0,9.0,7.0,7.0,7.0,7.0,9.0,2.0,'[6-8]','[0-5]','[6-8]','[0-5]','[0-5]','[0-5]','[0-5]','[0-5]','[0-5]','[9-10]','[9-10]','[6-8]','[6-8]','[6-8]','[6-8]','[9-10]','[0-5]',0.25,'[0-0.33]',7.0,10.0,4.0,'[7-10]','[10-20]','[3-5]',6.0,6.0,'[6-8]','[5-6]',,'0','1','0'
'',4.0,'female',27.0,28.0,1.0,'[0-1]','Asian/Pacific Islander/Asian-American','European/Caucasian-American','0',3.0,1.0,'[2-5]','[0-1]','chemistry',30.0,30.0,20.0,10.0,10.0,0.0,'[21-100]','[21-100]','[16-20]','[0-15]','[0-15]','[0-15]',5.0,4.0,6.0,7.0,5.0,5.0,'[0-5]','[0-5]','[6-8]','[6-8]','[0-5]','[0-5]',10.0,20.0,20.0,10.0,20.0,20.0,'[0-15]','[16-20]','[16-20]','[0-15]','[16-20]','[16-20]',8.0,8.0,8.0,8.0,8.0,'[6-8]','[6-8]','[6-8]','[6-8]','[6-8]',8.0,8.0,8.0,8.0,7.0,7.0,'[6-8]','[6-8]','[6-8]','[6-8]','[6-8]','[6-8]',8.0,3.0,7.0,5.0,5.0,4.0,3.0,1.0,5.0,10.0,9.0,7.0,7.0,7.0,7.0,9.0,2.0,'[6-8]','[0-5]','[6-8]','[0-5]','[0-5]','[0-5]','[0-5]','[0-5]','[0-5]','[9-10]','[9-10]','[6-8]','[6-8]','[6-8]','[6-8]','[9-10]','[0-5]',0.14,'[0-0.33]',7.0,10.0,4.0,'[7-10]','[10-20]','[3-5]',7.0,2.0,'[6-8]','[0-4]',0.0,'1','0','0'
'',4.0,'female',27.0,30.0,3.0,'[2-3]','Asian/Pacific Islander/Asian-American','Other','0',3.0,1.0,'[2-5]','[0-1]','chemistry',20.0,25.0,25.0,15.0,5.0,10.0,'[16-20]','[21-100]','[21-100]','[0-15]','[0-15]','[0-15]',6.0,9.0,8.0,7.0,8.0,4.0,'[6-8]','[9-10]','[6-8]','[6-8]','[6-8]','[0-5]',10.0,20.0,20.0,10.0,20.0,20.0,'[0-15]','[16-20]','[16-20]','[0-15]','[16-20]','[16-20]',8.0,8.0,8.0,8.0,8.0,'[6-8]','[6-8]','[6-8]','[6-8]','[6-8]',6.0,8.0,8.0,7.0,8.0,7.0,'[6-8]','[6-8]','[6-8]','[6-8]','[6-8]','[6-8]',8.0,3.0,7.0,5.0,5.0,4.0,3.0,1.0,5.0,10.0,9.0,7.0,7.0,7.0,7.0,9.0,2.0,'[6-8]','[0-5]','[6-8]','[0-5]','[0-5]','[0-5]','[0-5]','[0-5]','[0-5]','[9-10]','[9-10]','[6-8]','[6-8]','[6-8]','[6-8]','[9-10]','[0-5]',0.54,'[0.33-1]',7.0,10.0,4.0,'[7-10]','[10-20]','[3-5]',7.0,7.0,'[6-8]','[7-10]',0.0,'0','0','0'
'',4.0,'female',27.0,22.0,5.0,'[4-6]','Asian/Pacific Islander/Asian-American','Asian/Pacific Islander/Asian-American','1',3.0,1.0,'[2-5]','[0-1]','chemistry',40.0,8.0,10.0,12.0,10.0,20.0,'[21-100]','[0-15]','[0-15]','[0-15]','[0-15]','[16-20]',6.0,8.0,7.0,,,,'[6-8]','[6-8]','[6-8]','[0-5]','[0-5]','[0-5]',10.0,20.0,20.0,10.0,20.0,20.0,'[0-15]','[16-20]','[16-20]','[0-15]','[16-20]','[16-20]',8.0,8.0,8.0,8.0,8.0,'[6-8]','[6-8]','[6-8]','[6-8]','[6-8]',6.0,8.0,7.0,6.0,8.0,6.0,'[6-8]','[6-8]','[6-8]','[6-8]','[6-8]','[6-8]',8.0,3.0,7.0,5.0,5.0,4.0,3.0,1.0,5.0,10.0,9.0,7.0,7.0,7.0,7.0,9.0,2.0,'[6-8]','[0-5]','[6-8]','[0-5]','[0-5]','[0-5]','[0-5]','[0-5]','[0-5]','[9-10]','[9-10]','[6-8]','[6-8]','[6-8]','[6-8]','[9-10]','[0-5]',-0.35,'[-1-0]',7.0,10.0,4.0,'[7-10]','[10-20]','[3-5]',7.0,8.0,'[6-8]','[7-10]',0.0,'0','1','0'
'',4.0,'female',27.0,32.0,5.0,'[4-6]','Asian/Pacific Islander/Asian-American','European/Caucasian-American','0',3.0,1.0,'[2-5]','[0-1]','chemistry',30.0,10.0,30.0,20.0,10.0,0.0,'[21-100]','[0-15]','[21-100]','[16-20]','[0-15]','[0-15]',10.0,9.0,8.0,7.0,7.0,10.0,'[9-10]','[9-10]','[6-8]','[6-8]','[6-8]','[9-10]',10.0,20.0,20.0,10.0,20.0,20.0,'[0-15]','[16-20]','[16-20]','[0-15]','[16-20]','[16-20]',8.0,8.0,8.0,8.0,8.0,'[6-8]','[6-8]','[6-8]','[6-8]','[6-8]',8.0,8.0,8.0,8.0,8.0,9.0,'[6-8]','[6-8]','[6-8]','[6-8]','[6-8]','[9-10]',8.0,3.0,7.0,5.0,5.0,4.0,3.0,1.0,5.0,10.0,9.0,7.0,7.0,7.0,7.0,9.0,2.0,'[6-8]','[0-5]','[6-8]','[0-5]','[0-5]','[0-5]','[0-5]','[0-5]','[0-5]','[9-10]','[9-10]','[6-8]','[6-8]','[6-8]','[6-8]','[9-10]','[0-5]',0.06,'[0-0.33]',7.0,10.0,4.0,'[7-10]','[10-20]','[3-5]',9.0,8.0,'[9-10]','[7-10]',1.0,'1','1','1'
